domain	topic	top-5	top-10	top-15	top-20
wiki	student school education program teacher course study training teach learn child educational class skill teaching offer learning english level subject	2.72727272727	3.0	2.77777777778	2.81818181818
wiki	cat cartoon character strip series comic animation warner animal entertainment disney voice child adventure fox show animated mouse film movie	2.41666666667	2.66666666667	2.8	2.55555555556
wiki	retrieved 2007 2006 #if 2005 december reference 2004 september october january november july march august 2002 2003 april june 2008	1.25	1.45454545455	1.66666666667	1.7
wiki	game player release video version character feature level play games playstation series xbox mode nintendo gameplay include computer system arcade	2.6	2.77777777778	2.66666666667	2.875
wiki	2000 2001 1999 2002 2003 1998 1997 1996 2004 2005 1995 1994 2006 1993 1992 2007 1991 2008 1990 2009	2.0	2.18181818182	2.6	2.4
wiki	air force squadron aircraft base fighter wing unit group operation command training raf fly war mission combat support military history	3.0	2.625	2.55555555556	2.75
wiki	york city times brooklyn american manhattan buffalo hudson rochester jersey island queens albany washington union united street bronx niagara *new	2.3	2.27272727273	2.3	2.5
wiki	— romanian romania bucharest ion caragiale vianu moldova alexandru transylvania colin nicolae cioculescu bogdan-piteşti include şi constantin note european moldavia	1.5	2.2	1.45454545455	1.77777777778
wiki	hall fame philadelphia american induct peterson howard pennsylvania national honor john curtis charles ferguson high links alvin city sports association	2.625	2.66666666667	1.54545454545	2.3
wiki	retrieved 2008 2009 #if 2007 june october february april july referencesexternal january links september august news november archived website bbc	1.8	1.36363636364	1.25	1.41666666667
wiki	feature music remix album hip feat hop rap track artist mix release group video rapper big produce records sample dance	2.77777777778	2.81818181818	2.81818181818	2.9
wiki	philippines philippine † manila city filipino province barangay ilocos san sur malolos ang rey center darna quezon gma abs-cbn metro	2.2	2.14285714286	1.9	1.6
wiki	club play football league team cup player season goal bear national division career soccer links match profile win championship external	2.91666666667	2.55555555556	2.77777777778	2.58333333333
wiki	place → jan heat mar advance oct apr feb nov aug jun dec nike sep *bishops round freestyle final jul	1.27272727273	1.375	1.1	1.25
wiki	robin sword hood master knight martial art technique blade hand kick leg style punch combat throw opponent arm weapon side	2.875	2.4	2.5	2.4
wiki	illinois chicago oregon indiana washington wisconsin portland area seattle county city madison milwaukee lake united states metropolitan indianapolis northwest columbia	2.81818181818	2.44444444444	2.44444444444	2.5
wiki	wrestling match championship team tag wrestler title kane wrestle professional win defeat wwe ring event heavyweight lose promotion feud duggan	2.875	2.6	2.9	2.55555555556
wiki	stone ancient find site period date culture century archaeological age early evidence archaeology pottery include excavation history later bce civilization	2.3	2.83333333333	2.8	2.6
wiki	article main category relate wikipedia event specifically list add information page base index template :this incorporate support automatically log equivalent	2.57142857143	2.45454545455	2.11111111111	2.1
wiki	olympics olympic medal summer games win championships event compete gold silver bronze team bear reference metre finish competition athlete record	2.92307692308	2.63636363636	2.8	2.77777777778
wiki	ohio smith nba kentucky connecticut cleveland cincinnati columbus 2007 chicago basketball louisville #if field hartford usa links department haven boston	1.6	1.8	2.0	1.63636363636
wiki	guitar jazz play bass band instrument drum music blues sound musician piano live record player saxophone musical string note acoustic	2.90909090909	2.77777777778	2.9	2.88888888889
wiki	london british britain bbc england royal carr page english manchester borough kent history davies kingdom liverpool west programme birmingham centre	2.83333333333	2.33333333333	2.55555555556	2.77777777778
wiki	party communist movement political soviet union socialist revolution member group leader war revolutionary national social front regime government organization lead	2.77777777778	2.875	2.90909090909	2.88888888889
wiki	protein gene #if cell human pmid doi dna river apelor bucureşti reference encode receptor sequence molecular genetic rna 1971 enzyme	2.0	1.27272727273	1.9	2.0
wiki	” ’ “the “ ’s – … n’t wells “a find give norse takahashi place word start don’t heart later	1.25	1.1	1.11111111111	1.0
wiki	double open tennis tournament title singles player win round wimbledon final championships career lose draw defeat main seed no. play	2.7	2.66666666667	2.3	2.5
wiki	oil mine gas coal mining ethiopia petroleum production gulf mineral field company natural gold miner ore plant pipeline copper ethiopian	2.90909090909	2.81818181818	2.8	2.66666666667
wiki	magazine publish newspaper news issue editor daily media publication article times journal review weekly paper online journalist cover press post	2.66666666667	2.83333333333	2.7	2.5
wiki	swedish norwegian norway danish sweden denmark stockholm copenhagen iceland oslo icelandic uppsala carl viking christian johan trondheim erik reference english	2.5	2.22222222222	2.55555555556	2.1
wiki	museum library collection history national natural public historical display include heritage archive exhibit society branch open information art links archives	2.81818181818	2.66666666667	2.8	2.54545454545
wiki	temple india tamil kerala hindu nadu district lord indian place chennai kannada village mangalore malayalam famous shiva south vishnu sri	2.44444444444	2.11111111111	2.3	2.1
wiki	channel television news network broadcast program air reporter media cbs station digital show anchor abc broadcasting local sport fox cable	2.9	2.88888888889	2.9	2.54545454545
wiki	song music dance sing perform singer folk lyric musical group popular write artist musician traditional compose band contest performance concert	3.0	3.0	2.45454545455	2.8
wiki	california san los angeles francisco santa diego city oakland county valley pacific center bay southern cruz jose beach coast sacramento	3.0	2.5	2.875	2.66666666667
wiki	horse race win jump stakes racing derby breed run winner ride thoroughbred sire american bull cup handicap champion mile jockey	2.33333333333	2.85714285714	2.9	2.91666666667
wiki	dog switzerland swiss canton german breed needle geneva update links page knit club french reference basset sector external finn italian	1.7	1.5	1.625	1.66666666667
wiki	bird species family occur order worldwide small bill large warbler nest rare/accidental wing sparrow black include white plumage feather flycatcher	2.0	2.2	2.45454545455	2.54545454545
wiki	war government power force military empire treaty control lead territory peace rule political country army conflict end support land independence	2.8	3.0	2.77777777778	2.9
wiki	land animal farm agriculture agricultural food farmer crop soil cattle production grow plant population produce rice farming livestock famine important	3.0	2.81818181818	2.75	3.0
wiki	="center align bgcolor valign ="bottom ="background-color height :#dfffdf" ="13 102 110 103 112 113 108 ="top 114 105 122 119	1.7	1.625	1.42857142857	1.58333333333
wiki	hospital medical health care medicine center patient doctor dr. physician surgery nurse clinical clinic research treatment healthcare practice cancer nursing	3.0	2.66666666667	3.0	2.8
wiki	french paris des france les jean pierre michel jacques sur rue louis pour andré claude françois english henri une dans	3.0	2.6	2.55555555556	2.27272727273
wiki	species fish egg find female sea male population animal giant large small range water shark feed common live spider food	2.1	2.6	2.75	2.625
